population	plot	 family 	block	d13c
flume	FT1	78	3	-30.255
flume	FT1	78	4	-30.02
flume	FT1	78	2	-29.882
flume	FT1	79	1	-31.658
flume	FT1	79	3	-31.373
flume	FT1	79	4	-30.289
flume	FT1	79	5	-29.803
flume	FT1	79	2	-29.006
flume	FT2	81	2	-31.216
flume	FT2	81	3	-30.98
flume	FT2	81	5	-30.496
flume	FT2	81	4	-30.301
flume	FT2	81	1	-30.192
flume	FT2	82	1	-30.763
flume	FT2	82	5	-30.687
flume	FT2	82	4	-30.637
flume	FT2	82	3	-29.367
flume	FT2	82	2	-28.404
flume	FT2	83	4	-31.688
flume	FT2	83	2	-30.854
flume	FT2	83	4	-30.407
flume	FT2	83	3	-30.396
flume	FT2	83	1	-29.891
flume	FT2	84	3	-32.072
flume	FT2	84	2	-31.245
flume	FT2	84	1	-31.062
flume	FT2	84	5	-30.93
flume	FT2	84	4	-30.869
flume	FT2	85	3	-31.287
flume	FT2	85	5	-30.861
flume	FT2	85	1	-30.575
flume	FT2	85	4	-30.496
flume	FT2	85	2	-29.715
flume	FT2	86	3	-31.264
flume	FT2	86	2	-30.616
flume	FT2	86	4	-30.599
flume	FT2	86	1	-30.296
flume	FT2	86	5	-30.065
flume	FT2	86	4	-29.537
flume	FT2	87	4	-30.336
flume	FT2	87	1	-30.233
flume	FT2	87	3	-29.917
flume	FT2	87	5	-29.894
flume	FT3	88	4	-31.457
flume	FT3	88	5	-30.402
flume	FT3	88	2	-29.894
flume	FT3	88	1	-29.367
flume	FT3	88	3	-29.048
flume	FT3	89	1	-31.078
flume	FT3	89	4	-31.043
flume	FT3	89	3	-30.169
flume	FT3	89	5	-29.98
flume	FT3	89	2	-28.982
flume	FT3	90	3	-32.14
flume	FT3	90	1	-31.701
flume	FT3	90	4	-30.722
flume	FT3	90	3	-30.299
flume	FT3	90	2	-29.583
flume	FT3	92	2	-31.156
flume	FT3	92	5	-30.935
flume	FT3	92	3	-30.678
flume	FT3	92	1	-30.577
flume	FT3	92	4	-30.108
flume	FT3	93	4	-30.534
flume	FT3	93	1	-30.198
flume	FT3	93	5	-29.666
flume	FT3	93	2	-29.371
flume	FT3	93	3	-27.332
incline lk	IL1	94	3	-31.843
incline lk	IL1	94	2	-31.723
incline lk	IL1	94	5	-30.405
incline lk	IL1	94	1	-30.344
incline lk	IL1	94	4	-29.383
incline lk	IL1	95	3	-30.596
incline lk	IL1	95	4	-30.51
incline lk	IL1	95	5	-29.996
incline lk	IL1	95	1	-29.839
incline lk	IL1	95	2	-29.408
incline lk	IL1	96	3	-31.578
incline lk	IL1	96	4	-30.802
incline lk	IL1	96	1	-30.584
incline lk	IL1	96	2	-30.2
incline lk	IL1	96	1	-29.879
incline lk	IL1	97	4	-31.51
incline lk	IL1	97	5	-30.444
incline lk	IL1	97	2	-30.237
incline lk	IL1	97	3	-29.774
incline lk	IL1	97	1	-29.2
incline lk	IL1	98	2	-31.858
incline lk	IL1	98	3	-30.55
incline lk	IL1	98	1	-30.309
incline lk	IL1	98	4	-30.237
incline lk	IL1	98	5	-29.749
incline lk	IL1	99	3	-31.688
incline lk	IL1	99	2	-31.373
incline lk	IL1	99	1	-30.751
incline lk	IL1	99	4	-30.644
incline lk	IL1	99	5	-30.619
incline lk	IL1	100	1	-31.448
incline lk	IL1	100	5	-31.312
incline lk	IL1	100	3	-30.719
incline lk	IL1	100	2	-30.158
incline lk	IL1	100	4	-29.467
incline lk	IL2	101	4	-31.473
incline lk	IL2	101	1	-31.166
incline lk	IL2	101	2	-30.39
incline lk	IL2	101	3	-30.2
incline lk	IL2	102	1	-32.518
incline lk	IL2	102	2	-31.15
incline lk	IL2	102	5	-31.061
incline lk	IL2	102	4	-30.659
incline lk	IL2	102	3	-30.284
incline lk	IL2	103	5	-31.428
incline lk	IL2	103	4	-30.912
incline lk	IL2	103	2	-30.793
incline lk	IL2	103	1	-29.921
incline lk	IL2	103	3	-28.986
incline lk	IL2	104	5	-31.82
incline lk	IL2	104	4	-31.624
incline lk	IL2	104	2	-31.433
incline lk	IL2	104	1	-30.971
incline lk	IL2	104	3	-30.679
incline lk	IL2	105	3	-32.699
incline lk	IL2	105	5	-31.568
incline lk	IL2	105	2	-30.862
incline lk	IL2	105	1	-30.602
incline lk	IL2	105	5	-30.396
incline lk	IL2	107	4	-30.593
incline lk	IL2	107	3	-30.146
incline lk	IL2	107	5	-30.113
incline lk	IL2	107	1	-29.719
incline lk	IL2	107	2	-29.107
incline lk	IL2	108	3	-32.677
incline lk	IL2	108	4	-30.503
incline lk	IL2	108	5	-30.501
incline lk	IL2	108	1	-28.996
incline lk	IL2	108	2	-28.129
incline lk	IL3	109	2	-31.828
incline lk	IL3	109	5	-31.196
incline lk	IL3	109	3	-31.056
incline lk	IL3	109	4	-30.928
incline lk	IL3	109	1	-29.65
incline lk	IL3	110	5	-31.582
incline lk	IL3	110	1	-31.163
incline lk	IL3	110	3	-30.474
incline lk	IL3	110	2	-29.848
incline lk	IL3	110	5	-29.74
incline lk	IL3	111	2	-31.418
incline lk	IL3	111	5	-30.907
incline lk	IL3	111	3	-30.346
incline lk	IL3	111	4	-28.971
incline lk	IL3	111	1	-28.538
incline lk	IL3	112	5	-31.633
incline lk	IL3	112	3	-31.443
incline lk	IL3	112	4	-30.982
incline lk	IL3	112	1	-29.668
incline lk	IL3	112	2	-29.087
incline lk	IL3	113	5	-31.611
incline lk	IL3	113	3	-30.992
incline lk	IL3	113	4	-30.915
incline lk	IL3	113	1	-30.625
incline lk	IL3	113	2	-29.198
incline lk	IL3	114	2	-31.709
incline lk	IL3	114	3	-31.18
incline lk	IL3	114	1	-29.877
incline lk	IL3	114	5	-29.854
incline lk	IL3	114	4	-29.785
incline lk	IL3	115	5	-30.829
incline lk	IL3	115	3	-30.69
incline lk	IL3	115	1	-30.581
incline lk	IL3	115	4	-29.919
incline lk	IL3	115	2	-29.864
incline lk	IL3	116	5	-31.194
incline lk	IL3	116	2	-30.762
incline lk	IL3	116	1	-30.56
incline lk	IL3	116	3	-30.536
incline lk	IL3	116	4	-29.183
echo lk	EL1	117	5	-31.965
echo lk	EL1	117	2	-31.824
echo lk	EL1	117	3	-31.183
echo lk	EL1	117	4	-29.78
echo lk	EL1	117	1	-29.715
echo lk	EL1	120	2	-31.022
echo lk	EL1	120	5	-30.849
echo lk	EL1	120	3	-30.799
echo lk	EL1	120	1	-30.574
echo lk	EL1	120	4	-30.532
echo lk	EL1	121	5	-31.633
echo lk	EL1	121	4	-31.284
echo lk	EL1	121	3	-31.093
echo lk	EL1	121	1	-30.609
echo lk	EL1	121	2	-30.413
echo lk	EL2	122	5	-32.213
echo lk	EL2	122	4	-31.88
echo lk	EL2	122	1	-31.829
echo lk	EL2	122	3	-30.734
echo lk	EL2	122	2	-30.394
echo lk	EL2	123	3	-31.831
echo lk	EL2	123	5	-31.457
echo lk	EL2	123	2	-31.194
echo lk	EL2	123	4	-30.546
echo lk	EL2	123	1	-29.131
echo lk	EL2	124	2	-31.604
echo lk	EL2	124	1	-31.566
echo lk	EL2	124	5	-31.261
echo lk	EL2	124	3	-31.06
echo lk	EL2	124	4	-30.391
echo lk	EL2	126	3	-31.511
echo lk	EL2	126	4	-31.444
echo lk	EL2	126	2	-30.933
echo lk	EL2	126	1	-30.737
echo lk	EL2	126	5	-29.758
echo lk	EL3	127	3	-31.464
echo lk	EL3	127	4	-31.168
echo lk	EL3	127	5	-30.61
echo lk	EL3	127	2	-30.454
echo lk	EL3	127	1	-30.36
echo lk	EL3	129	1	-31.641
echo lk	EL3	129	5	-31.203
echo lk	EL3	129	2	-30.749
echo lk	EL3	129	4	-30.441
echo lk	EL3	129	3	-30.003
jakes	JK1	130	5	-32.09
jakes	JK1	130	2	-31.968
jakes	JK1	130	3	-31.495
jakes	JK1	130	5	-31.281
jakes	JK1	130	1	-29.243
jakes	JK1	131	1	-31.577
jakes	JK1	131	2	-30.483
jakes	JK1	131	4	-29.692
jakes	JK1	131	5	-29.659
jakes	JK1	131	3	-29.073
jakes	JK1	132	5	-31.914
jakes	JK1	132	4	-31.091
jakes	JK1	132	3	-30.85
jakes	JK1	132	1	-30.799
jakes	JK1	132	2	-30.164
jakes	JK1	134	5	-31.873
jakes	JK1	134	4	-31.016
jakes	JK1	134	1	-30.999
jakes	JK1	134	2	-30.255
jakes	JK1	134	3	-29.583
jakes	JK2	135	5	-32.215
jakes	JK2	135	2	-31.737
jakes	JK2	135	4	-31.238
jakes	JK2	135	1	-30.85
jakes	JK2	135	3	-30.38
jakes	JK2	137	2	-32.783
jakes	JK2	137	1	-31.163
jakes	JK2	137	4	-30.944
jakes	JK2	137	3	-30.06
jakes	JK2	137	5	-27.689
jakes	JK2	138	1	-31.598
jakes	JK2	138	3	-31.232
jakes	JK2	138	5	-30.47
jakes	JK2	138	4	-30.356
jakes	JK2	138	2	-29.919
jakes	JK3	139	1	-31.381
jakes	JK3	139	3	-31.262
jakes	JK3	139	5	-30.541
jakes	JK3	139	2	-29.945
jakes	JK3	139	4	-29.543
jakes	JK3	140	3	-32.542
jakes	JK3	140	5	-32.148
jakes	JK3	140	2	-31.455
jakes	JK3	140	4	-30.719
jakes	JK3	140	1	-30.005
jakes	JK3	142	5	-31.693
jakes	JK3	142	4	-30.62
jakes	JK3	142	3	-30.246
jakes	JK3	142	1	-29.823
jakes	JK3	142	2	-29.813
jakes	JK3	143	2	-31.731
jakes	JK3	143	5	-30.843
jakes	JK3	143	4	-30.765
jakes	JK3	143	3	-30.678
jakes	JK3	143	1	-29.144
jakes	JK3	144	5	-31.775
jakes	JK3	144	1	-31.761
jakes	JK3	144	3	-31.205
jakes	JK3	144	2	-30.52
jakes	JK3	144	4	-29.13
hvn	HVU2	145	4	-32.528
hvn	HVU2	145	1	-32.07
hvn	HVU2	145	3	-31.121
hvn	HVU2	145	2	-30.989
hvn	HVU2	145	5	-30.694
hvn	HVU2	146	2	-32.496
hvn	HVU2	146	5	-32.077
hvn	HVU2	146	1	-30.633
hvn	HVU2	146	3	-30.375
hvn	HVU2	146	4	-29.825
hvn	HVU2	148	4	-32.236
hvn	HVU2	148	5	-31.398
hvn	HVU2	148	3	-31.133
hvn	HVU2	148	3	-30.998
hvn	HVU2	148	1	-30.218
hvn	HVU2	149	4	-32.351
hvn	HVU2	149	5	-32.186
hvn	HVU2	149	3	-32.045
hvn	HVU2	149	1	-30.993
hvn	HVU2	149	2	-30.204
hvn	HVU2	150	1	-32.521
hvn	HVU2	150	5	-32.36
hvn	HVU2	150	2	-32.159
hvn	HVU2	150	3	-31.493
hvn	HVU2	150	4	-30.259
hvn	HVU2	151	4	-31.95
hvn	HVU2	151	3	-31.693
hvn	HVU2	151	5	-30.68
hvn	HVU2	151	1	-30.417
hvn	HVU2	151	2	-30.389
hvn	HVU2	152	3	-32.041
hvn	HVU2	152	5	-30.67
hvn	HVU2	152	2	-30.596
hvn	HVU2	152	1	-30.069
hvn	HVU2	152	4	-28.886
hvn	HVU1	153	2	-32.883
hvn	HVU1	153	4	-32.601
hvn	HVU1	153	1	-32.093
hvn	HVU1	153	4	-31.943
hvn	HVU1	153	3	-31.342
hvn	HVU1	154	3	-30.898
hvn	HVU1	154	2	-30.546
hvn	HVU1	154	4	-30.161
hvn	HVU1	154	5	-29.768
hvn	HVU1	154	1	-29.757
hvn	HVU1	156	5	-32.529
hvn	HVU1	156	1	-31.855
hvn	HVU1	156	2	-31.288
hvn	HVU1	156	3	-30.263
hvn	HVU1	156	4	-29.527
hvn	HVU1	157	5	-32.422
hvn	HVU1	157	5	-32.314
hvn	HVU1	157	4	-30.382
hvn	HVU1	157	2	-29.743
hvn	HVU1	157	1	-29.313
hvn	HVU1	158	4	-32.183
hvn	HVU1	158	3	-30.692
hvn	HVU1	158	2	-30.677
hvn	HVU1	158	1	-30.188
hvn	HVU1	158	5	-29.549
hvn	HVU1	159	2	-32.534
hvn	HVU1	159	3	-31.561
hvn	HVU1	159	5	-31.178
hvn	HVU1	159	1	-31.084
hvn	HVU1	159	4	-29.969
hvn	HVU3	160	2	-31.816
hvn	HVU3	160	3	-31.355
hvn	HVU3	160	4	-30.645
hvn	HVU3	160	1	-30.529
hvn	HVU3	160	5	-29.076
hvn	HVU3	161	5	-31.235
hvn	HVU3	161	3	-31.012
hvn	HVU3	161	2	-30.871
hvn	HVU3	161	1	-30.383
hvn	HVU3	161	4	-30.368
hvn	HVU3	162	1	-31.855
hvn	HVU3	162	5	-31.354
hvn	HVU3	162	2	-31.062
hvn	HVU3	162	4	-30.981
hvn	HVU3	162	3	-30.935
hvn	HVU3	163	3	-31.395
hvn	HVU3	163	4	-31.022
hvn	HVU3	163	1	-30.907
hvn	HVU3	163	5	-30.865
hvn	HVU3	163	3	-30.587
hvn	HVU3	164	5	-32.747
hvn	HVU3	164	3	-32.195
hvn	HVU3	164	4	-31.829
hvn	HVU3	164	1	-31.515
hvn	HVU3	164	2	-30.818
hvn	HVU3	165	2	-32.517
hvn	HVU3	165	5	-32.376
hvn	HVU3	165	4	-31.611
hvn	HVU3	165	3	-30.292
hvn	HVU3	165	1	-30.065
hvn	HVU3	166	5	-30.978
hvn	HVU3	166	2	-30.684
hvn	HVU3	166	1	-30.329
hvn	HVU3	166	4	-30.236
hvn	HVU3	166	3	-29.695
montreal cyn	MC1	168	3	-32.021
montreal cyn	MC1	168	4	-31.679
montreal cyn	MC1	168	2	-31.317
montreal cyn	MC1	168	5	-30.757
montreal cyn	MC1	168	1	-30.718
montreal cyn	MC1	169	5	-30.354
montreal cyn	MC1	169	1	-30.087
montreal cyn	MC1	169	3	-29.366
montreal cyn	MC1	169	4	-28.994
montreal cyn	MC1	169	2	-28.946
montreal cyn	MC1	171	4	-32.2
montreal cyn	MC1	171	2	-31.582
montreal cyn	MC1	171	5	-31.535
montreal cyn	MC1	171	3	-31.292
montreal cyn	MC1	171	1	-30.17
montreal cyn	MC1	173	4	-32.248
montreal cyn	MC1	173	2	-31.638
montreal cyn	MC1	173	3	-31.597
montreal cyn	MC1	173	5	-30.854
montreal cyn	MC1	173	1	-30.784
montreal cyn	MC1	174	4	-30.782
montreal cyn	MC1	174	5	-30.336
montreal cyn	MC1	174	1	-29.581
montreal cyn	MC1	174	2	-29.479
montreal cyn	MC1	174	3	-29.273
montreal cyn	MC1	175	4	-31.472
montreal cyn	MC1	175	3	-31.171
montreal cyn	MC1	175	5	-30.551
montreal cyn	MC1	175	1	-29.99
montreal cyn	MC1	175	2	-29.449
montreal cyn	MC1	176	5	-31.575
montreal cyn	MC1	176	3	-31.338
montreal cyn	MC1	176	2	-30.576
montreal cyn	MC1	176	1	-30.001
montreal cyn	MC1	176	4	-28.084
montreal cyn	MC1	177	3	-32.522
montreal cyn	MC1	177	5	-32.137
montreal cyn	MC1	177	3	-31.901
montreal cyn	MC1	177	4	-30.76
montreal cyn	MC1	177	1	-29.723
montreal cyn	MC2	178	5	-31.185
montreal cyn	MC2	178	3	-31.065
montreal cyn	MC2	178	2	-31.008
montreal cyn	MC2	178	4	-30.551
montreal cyn	MC2	178	1	-30.367
montreal cyn	MC2	180	4	-31.087
montreal cyn	MC2	180	5	-30.927
montreal cyn	MC2	180	1	-30.463
montreal cyn	MC2	180	3	-30.381
montreal cyn	MC2	180	2	-29.706
montreal cyn	MC2	181	3	-31.172
montreal cyn	MC2	181	4	-30.748
montreal cyn	MC2	181	2	-30.624
montreal cyn	MC2	181	5	-30.527
montreal cyn	MC2	181	1	-29.535
montreal cyn	MC2	182	2	-31.955
montreal cyn	MC2	182	3	-31.933
montreal cyn	MC2	182	1	-31.473
montreal cyn	MC2	182	5	-31.342
montreal cyn	MC2	182	4	-30.676
montreal cyn	MC2	183	3	-32.055
montreal cyn	MC2	183	5	-32.007
montreal cyn	MC2	183	1	-31.404
montreal cyn	MC2	183	4	-30.321
montreal cyn	MC3	184	3	-31.932
montreal cyn	MC3	184	2	-30.284
montreal cyn	MC3	184	1	-30.212
montreal cyn	MC3	184	5	-30.057
montreal cyn	MC3	184	4	-29.288
montreal cyn	MC3	185	1	-32.171
montreal cyn	MC3	185	3	-32.155
montreal cyn	MC3	185	5	-30.961
montreal cyn	MC3	185	2	-30.828
montreal cyn	MC3	185	4	-29.794
montreal cyn	MC3	186	5	-32.535
montreal cyn	MC3	186	1	-31.877
montreal cyn	MC3	186	3	-31.721
montreal cyn	MC3	186	2	-31.404
montreal cyn	MC3	186	4	-30.04
montreal cyn	MC3	189	3	-31.915
montreal cyn	MC3	189	4	-31.787
montreal cyn	MC3	189	1	-30.498
montreal cyn	MC3	189	5	-30.069
montreal cyn	MC3	189	2	-29.686
montreal cyn	MC3	190	4	-31.945
montreal cyn	MC3	190	3	-31.719
montreal cyn	MC3	190	2	-30.631
montreal cyn	MC3	190	1	-30.602
montreal cyn	MC3	190	5	-30.542
mt watson	MW3	191	3	-32.172
mt watson	MW3	191	1	-31.862
mt watson	MW3	191	2	-31.21
mt watson	MW3	191	4	-30.94
mt watson	MW3	191	5	-30.647
mt watson	MW3	193	2	-32.39
mt watson	MW3	193	1	-31.963
mt watson	MW3	193	4	-31.262
mt watson	MW3	193	4	-31.219
mt watson	MW3	193	3	-30.033
mt watson	MW3	195	2	-32.352
mt watson	MW3	195	4	-32.121
mt watson	MW3	195	1	-30.938
mt watson	MW3	195	5	-30.791
mt watson	MW3	195	3	-30.656
mt watson	MW3	196	3	-32.031
mt watson	MW3	196	5	-31.612
mt watson	MW3	196	1	-30.989
mt watson	MW3	196	2	-30.635
mt watson	MW3	196	4	-30.188
mt watson	MW1	197	3	-32.698
mt watson	MW1	197	5	-32.567
mt watson	MW1	197	1	-32.159
mt watson	MW1	197	4	-31.684
mt watson	MW1	197	2	-31.116
mt watson	MW1	198	1	-32.791
mt watson	MW1	198	4	-32.27
mt watson	MW1	198	2	-31.998
mt watson	MW1	198	3	-30.524
mt watson	MW1	198	5	-29.457
mt watson	MW1	199	2	-32.753
mt watson	MW1	199	5	-32.474
mt watson	MW1	199	2	-31.923
mt watson	MW1	199	3	-31.45
mt watson	MW1	199	4	-31.092
mt watson	MW1	200	5	-32.587
mt watson	MW1	200	3	-32.452
mt watson	MW1	200	2	-32.088
mt watson	MW1	200	4	-30.972
mt watson	MW1	200	1	-29.834
mt watson	MW1	201	2	-32.797
mt watson	MW1	201	3	-32.107
mt watson	MW1	201	5	-30.847
mt watson	MW1	201	4	-29.726
mt watson	MW1	201	1	-29.229
mt watson	MW1	202	5	-32.129
mt watson	MW1	202	3	-32.076
mt watson	MW1	202	1	-31.797
mt watson	MW1	202	2	-30.778
mt watson	MW1	202	4	-29.665
mt watson	MW2	203	4	-32.323
mt watson	MW2	203	2	-31.661
mt watson	MW2	203	3	-30.922
mt watson	MW2	203	5	-30.905
mt watson	MW2	203	1	-30.745
mt watson	MW2	205	1	-32.659
mt watson	MW2	205	2	-32.084
mt watson	MW2	205	5	-31.539
mt watson	MW2	205	3	-31.174
mt watson	MW2	205	4	-30.84
mt watson	MW2	206	4	-32.205
mt watson	MW2	206	5	-32.143
mt watson	MW2	206	2	-31.742
mt watson	MW2	206	1	-31.428
mt watson	MW2	206	3	-30.593
mt watson	MW2	208	5	-31.201
mt watson	MW2	208	3	-31.024
mt watson	MW2	208	4	-30.839
mt watson	MW2	208	1	-29.265
mt watson	MW2	208	2	-29.042
mt watson	MW2	209	5	-32.251
mt watson	MW2	209	4	-31.639
mt watson	MW2	209	2	-30.733
mt watson	MW2	209	3	-30.717
mt watson	MW2	209	1	-29.288
armstrong	AP1	211	5	-31.231
armstrong	AP1	211	2	-31.04
armstrong	AP1	211	4	-30.765
armstrong	AP1	211	3	-30.761
armstrong	AP1	211	1	-30.396
armstrong	AP1	212	1	-31.924
armstrong	AP1	212	5	-31.061
armstrong	AP1	212	3	-30.52
armstrong	AP1	212	4	-30.517
armstrong	AP1	213	3	-32.736
armstrong	AP1	213	5	-32.278
armstrong	AP1	213	1	-31.429
armstrong	AP1	213	2	-31.147
armstrong	AP1	213	4	-29.788
armstrong	AP1	215	4	-31.748
armstrong	AP1	215	3	-31.686
armstrong	AP1	215	1	-31.655
armstrong	AP1	215	2	-30.858
armstrong	AP1	215	5	-29.809
armstrong	AP2	217	1	-32.094
armstrong	AP2	217	4	-31.948
armstrong	AP2	217	4	-31.907
armstrong	AP2	217	3	-30.66
armstrong	AP2	218	2	-32.87
armstrong	AP2	218	5	-31.456
armstrong	AP2	218	1	-31.36
armstrong	AP2	218	3	-31.043
armstrong	AP2	218	4	-30.493
armstrong	AP2	219	3	-32.284
armstrong	AP2	219	2	-31.797
armstrong	AP2	219	5	-31.737
armstrong	AP2	219	4	-31.68
armstrong	AP2	219	1	-30.567
armstrong	AP2	221	3	-31.975
armstrong	AP2	221	5	-31.674
armstrong	AP2	221	4	-30.847
armstrong	AP2	221	2	-29.726
armstrong	AP2	221	1	-29.159
armstrong	AP2	223	5	-32.23
armstrong	AP2	223	2	-32.15
armstrong	AP2	223	4	-31.355
armstrong	AP2	223	3	-30.988
armstrong	AP2	223	1	-29.312
armstrong	AP2	224	2	-32.152
armstrong	AP2	224	1	-30.43
armstrong	AP2	224	4	-30.401
armstrong	AP2	224	3	-29.993
armstrong	AP2	224	5	-29.238
armstrong	AP3	225	3	-31.551
armstrong	AP3	225	5	-31.454
armstrong	AP3	225	2	-30.482
armstrong	AP3	225	4	-30.367
armstrong	AP3	225	1	-30.036
armstrong	AP3	226	4	-32.764
armstrong	AP3	226	1	-31.693
armstrong	AP3	226	2	-31.569
armstrong	AP3	226	3	-31.104
armstrong	AP3	226	5	-30.604
armstrong	AP3	227	5	-31.332
armstrong	AP3	227	4	-30.931
armstrong	AP3	227	2	-30.86
armstrong	AP3	227	3	-30.566
armstrong	AP3	227	1	-30.451
armstrong	AP3	228	4	-31.071
armstrong	AP3	228	3	-30.978
armstrong	AP3	228	5	-30.363
armstrong	AP3	228	2	-29.735
armstrong	AP3	228	2	-29.145
armstrong	AP3	230	4	-31.851
armstrong	AP3	230	2	-31.441
armstrong	AP3	230	1	-31.39
armstrong	AP3	230	3	-30.974
armstrong	AP3	230	5	-30.752
armstrong	AP3	231	5	-32.409
armstrong	AP3	231	1	-30.824
armstrong	AP3	231	4	-30.595
armstrong	AP3	231	2	-30.418
armstrong	AP3	231	3	-29.967
armstrong	AP3	232	3	-31.578
armstrong	AP3	232	1	-31.04
armstrong	AP3	232	5	-30.746
armstrong	AP3	232	2	-28.999
armstrong	AP3	232	4	-28.422
meiss mdw	MM3	233	3	-31.949
meiss mdw	MM3	233	2	-31.841
meiss mdw	MM3	233	1	-30.844
meiss mdw	MM3	233	4	-30.312
meiss mdw	MM3	233	5	-29.779
meiss mdw	MM3	234	5	-30.54
meiss mdw	MM3	234	2	-30.357
meiss mdw	MM3	234	3	-29.842
meiss mdw	MM3	234	4	-29.799
meiss mdw	MM3	234	1	-29.619
meiss mdw	MM3	235	5	-32.927
meiss mdw	MM3	235	3	-32.071
meiss mdw	MM3	235	4	-32.033
meiss mdw	MM3	235	2	-30.653
meiss mdw	MM3	235	1	-30.585
meiss mdw	MM3	236	2	-32.005
meiss mdw	MM3	236	3	-31.684
meiss mdw	MM3	236	5	-30.576
meiss mdw	MM3	236	1	-30.086
meiss mdw	MM3	236	4	-29.72
meiss mdw	MM3	237	5	-32.113
meiss mdw	MM3	237	3	-31.255
meiss mdw	MM3	237	2	-30.977
meiss mdw	MM3	237	4	-30.648
meiss mdw	MM3	237	1	-29.794
meiss mdw	MM3	238	2	-31.113
meiss mdw	MM3	238	3	-30.656
meiss mdw	MM3	238	4	-30.516
meiss mdw	MM3	238	5	-30.335
meiss mdw	MM3	238	1	-30.215
meiss mdw	MM3	239	1	-31.951
meiss mdw	MM3	239	5	-31.078
meiss mdw	MM3	239	3	-31.004
meiss mdw	MM3	239	4	-30.861
meiss mdw	MM3	239	2	-30.845
meiss mdw	MM2	241	5	-30.99
meiss mdw	MM2	241	2	-30.688
meiss mdw	MM2	241	4	-30.371
meiss mdw	MM2	241	3	-30.206
meiss mdw	MM2	241	1	-29.218
meiss mdw	MM2	242	1	-31.16
meiss mdw	MM2	242	4	-30.803
meiss mdw	MM2	242	2	-30.74
meiss mdw	MM2	242	3	-30.405
meiss mdw	MM2	242	5	-29.414
meiss mdw	MM2	244	4	-31.442
meiss mdw	MM2	244	1	-29.959
meiss mdw	MM2	244	4	-29.656
meiss mdw	MM2	244	2	-29.448
meiss mdw	MM2	244	3	-29.317
meiss mdw	MM2	245	1	-32.252
meiss mdw	MM2	245	2	-32.2
meiss mdw	MM2	245	5	-31.839
meiss mdw	MM2	245	4	-31.429
meiss mdw	MM2	245	3	-31.023
meiss mdw	MM2	246	3	-32.006
meiss mdw	MM2	246	2	-31.346
meiss mdw	MM2	246	5	-31.316
meiss mdw	MM2	246	4	-30.803
meiss mdw	MM2	246	1	-30.077
meiss mdw	MM1	247	3	-31.709
meiss mdw	MM1	247	5	-31.254
meiss mdw	MM1	247	4	-31.122
meiss mdw	MM1	247	1	-31.098
meiss mdw	MM1	247	2	-30.125
meiss mdw	MM1	248	4	-31.848
meiss mdw	MM1	248	3	-31.328
meiss mdw	MM1	248	5	-30.954
meiss mdw	MM1	248	1	-30.74
meiss mdw	MM1	248	2	-30.295
meiss mdw	MM1	249	3	-33.092
meiss mdw	MM1	249	1	-32.831
meiss mdw	MM1	249	5	-31.52
meiss mdw	MM1	249	2	-31.436
meiss mdw	MM1	249	4	-31.311
meiss mdw	MM1	250	5	-31.718
meiss mdw	MM1	250	3	-31.544
meiss mdw	MM1	250	4	-31.44
